Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,SourceFile
63,C04A,PVC,transparent,regular,2023-05-23 16:13:03.813306,98605.0,159594.0,313224.0,369022.0,219448.0,243918.0,90399.0,64639.0,-0.929778024461553,-0.3406292541600562,1.1434240272746117,1.6824281605655806,0.2375555086270986,0.4739337146852014,-1.0090473157943194,-1.257886816736564,-1.285504549893974,-0.8496700273361231,-1.3512629533193474,-0.0458357084051496,0.3723359755157761,0.770322408409076,0.8704880275244155,1.519126827505329,measurement4.csv
64,C05A,PVC,blue,regular,2023-05-23 16:13:33.804020,97988.0,148026.0,280240.0,267971.0,137236.0,136932.0,46230.0,32071.0,-0.5314831264141802,0.0549575732636003,1.6044933394252787,1.460701802106707,-0.0715002218026144,-0.0750630734893733,-1.138082065898623,-1.304024227190795,1.4508085782823466,1.3399646921785262,0.5935132264283955,0.2388353569031847,-0.428844259866615,-0.8207121124626524,-1.2761317672638397,-1.0974337141993429,measurement4.csv
65,C05A,PVC,blue,regular,2023-05-23 16:13:35.318889,99633.0,148366.0,283585.0,269548.0,137656.0,132608.0,46744.0,31686.0,-0.5114045677625398,0.0537873474839289,1.6220200765938189,1.4592228157169045,-0.0704242834907633,-0.1289695975113279,-1.124796626644006,-1.299435164386015,1.4899108803801135,1.2748387521925917,0.630584697726028,0.251398023974811,-0.4017744601726721,-0.9621637455626796,-1.1674484134475582,-1.1153457350906302,measurement4.csv
66,C05A,PVC,blue,regular,2023-05-23 16:13:36.461066,98336.0,146858.0,275488.0,269370.0,137132.0,133585.0,46772.0,31728.0,-0.5207871015289672,0.052576335307131,1.5725412765755726,1.500247523091313,-0.0623515898952078,-0.1042649510604039,-1.1300965334777031,-1.3078649590117346,1.5087168587139586,1.307767639769137,0.5041544224034997,0.306110621915845,-0.4001732424159424,-0.926056562647074,-1.179644670166413,-1.120875067573013,measurement4.csv
67,C05A,PVC,blue,regular,2023-05-23 16:13:37.678233,98354.0,145091.0,277382.0,266635.0,136002.0,133658.0,46397.0,31608.0,-0.5148396541333592,0.0378426620694185,1.6022326805297746,1.475145429481756,-0.0696381255713595,-0.0973567927767709,-1.1292504015700309,-1.3041357980294288,1.5419370784112545,1.2449619460949877,0.5816008586650716,0.2656832390387676,-0.4234975129652445,-0.8973411180599898,-1.1972928290036058,-1.1160516621812409,measurement4.csv
68,C06A,PVC,gray,regular,2023-05-23 16:13:49.872085,18754.0,29683.0,69890.0,63793.0,35744.0,35645.0,14964.0,9147.0,-0.7726356701077107,-0.2431730097567579,1.7046817971542825,1.4093085845859084,0.0504561589125736,0.045660038190207,-0.9562447361457848,-1.2380531628327178,-0.8485402329857631,-0.2762548103840861,1.965352158989629,0.1011260709591748,-0.1491669228069707,-1.3100484002433903,1.1127068810825211,-0.5951747446111302,measurement4.csv
69,C06A,PVC,gray,regular,2023-05-23 16:13:51.042289,19578.0,30435.0,68074.0,63071.0,35035.0,36492.0,14079.0,10212.0,-0.7529338530818402,-0.2095542437419346,1.674231803595701,1.4238377550069978,0.0206701463256314,0.0935912194405105,-1.0281520967734807,-1.2216907307715847,-0.3388478278393185,-0.0039752521563054,1.5937367704936354,-0.3563974166572199,-0.8603777845499572,-1.3717203610193598,-0.2536300694106783,1.5912119411392078,measurement4.csv
70,C06A,PVC,gray,regular,2023-05-23 16:13:52.112035,18788.0,30289.0,67812.0,64182.0,35044.0,36505.0,15135.0,9921.0,-0.7913404726523628,-0.219710489549337,1.6452814116744554,1.4648608535782912,0.0166255307667126,0.0892410777029373,-0.9729041913094668,-1.2320537202112298,-1.1960503678753291,-0.1404781178446583,1.3545842341575316,0.0048676284178031,-0.826565388194257,-1.298540057681186,1.3116730049717324,0.7905090640483489,measurement4.csv
71,C06A,PVC,gray,regular,2023-05-23 16:13:53.328184,18903.0,29805.0,67955.0,62177.0,35318.0,35778.0,14620.0,9902.0,-0.7759510262031623,-0.2267897176248884,1.6949222546977265,1.4038697835029672,0.0509140334475775,0.0740853966787283,-0.9916965668966816,-1.2293541576022673,-0.8631116459821525,-0.2511722459026612,1.6899552947537528,-0.4398019053104995,-0.4437175042208929,-1.508010241281041,0.8008649478798161,1.0149933000636708,measurement4.csv
72,D01A,LDPE,white,regular,2023-05-23 16:14:41.437766,124393.0,193610.0,388221.0,387799.0,218511.0,241627.0,89413.0,59937.0,-0.7584519979992652,-0.1655641650480956,1.50140340156791,1.4977887019203464,0.0477288110750687,0.2457321216273786,-1.0580780493541622,-1.3105588237891808,0.5513274088987963,1.396525323903833,-0.8158769470261064,-1.1927573560511917,-1.611849125060102,0.2680372772305679,0.7256085703722224,0.6789848477319286,measurement4.csv
