Reading,Name,PlasticType,Color,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,SourceFile
48,C02C,PVC,white,25143.0,38207.0,66356.0,77446.0,35134.0,41382.0,14673.0,9345.0,measurement2.csv
49,C03C,PVC,white,28132.0,43750.0,88869.0,94316.0,49407.0,55268.0,19764.0,13204.0,measurement2.csv
50,C03C,PVC,white,28539.0,43996.0,89206.0,94411.0,49039.0,55047.0,19820.0,13534.0,measurement2.csv
51,C03C,PVC,white,28116.0,43266.0,88389.0,93566.0,48910.0,55033.0,19624.0,13151.0,measurement2.csv
52,C03C,PVC,white,27897.0,43634.0,88382.0,93774.0,49068.0,54715.0,19551.0,12889.0,measurement2.csv
53,C04C,PVC,transparent,23340.0,35950.0,72496.0,82230.0,44055.0,50218.0,16920.0,11598.0,measurement2.csv
54,C04C,PVC,transparent,23722.0,36440.0,73413.0,82423.0,44500.0,50076.0,17100.0,11610.0,measurement2.csv
55,C04C,PVC,transparent,23770.0,36332.0,73212.0,82595.0,44571.0,49985.0,17243.0,11729.0,measurement2.csv
56,C04C,PVC,transparent,23456.0,36261.0,72980.0,82752.0,44121.0,49627.0,16872.0,11707.0,measurement2.csv
57,C05C,PVC,blue,20356.0,29536.0,57450.0,56194.0,27881.0,28099.0,9836.0,6699.0,measurement2.csv
58,C05C,PVC,blue,20384.0,29864.0,57741.0,56157.0,27962.0,28014.0,9617.0,6738.0,measurement2.csv
59,C05C,PVC,blue,20500.0,29711.0,57722.0,56167.0,27764.0,28380.0,9392.0,7089.0,measurement2.csv
60,C05C,PVC,blue,20570.0,29747.0,57782.0,55983.0,27521.0,28306.0,9427.0,6684.0,measurement2.csv
61,C06C,PVC,gray,4688.0,6117.0,13096.0,12528.0,6853.0,7317.0,2870.0,2152.0,measurement2.csv
62,C06C,PVC,gray,4310.0,5920.0,13073.0,12876.0,7086.0,7186.0,2679.0,2086.0,measurement2.csv
63,C06C,PVC,gray,4404.0,5929.0,13264.0,12754.0,6899.0,7036.0,2471.0,2179.0,measurement2.csv
64,C06C,PVC,gray,4148.0,6142.0,13423.0,12636.0,7329.0,7384.0,2536.0,1880.0,measurement2.csv
65,D01C,LDPE,white,28026.0,41860.0,87582.0,91670.0,47134.0,53343.0,19897.0,13403.0,measurement2.csv
66,D01C,LDPE,white,28435.0,41633.0,87718.0,91738.0,47147.0,53222.0,19789.0,13183.0,measurement2.csv
67,D01C,LDPE,white,28252.0,41553.0,87169.0,91659.0,46425.0,53402.0,19508.0,13328.0,measurement2.csv
68,D01C,LDPE,white,27596.0,41569.0,87213.0,91746.0,46978.0,53418.0,19949.0,13244.0,measurement2.csv
69,D02C,LDPE,transparent,26781.0,40473.0,95619.0,90409.0,45960.0,54967.0,18453.0,13065.0,measurement2.csv
70,D02C,LDPE,transparent,27213.0,40204.0,94609.0,90099.0,45706.0,55362.0,18961.0,13304.0,measurement2.csv
71,D02C,LDPE,transparent,26835.0,40551.0,95305.0,90096.0,45906.0,55018.0,18855.0,12974.0,measurement2.csv
72,D02C,LDPE,transparent,26448.0,40321.0,95321.0,90210.0,45916.0,55637.0,18708.0,12958.0,measurement2.csv
73,D03C,LDPE,red,20652.0,31659.0,54634.0,63050.0,33794.0,40077.0,15696.0,10388.0,measurement2.csv
74,D03C,LDPE,red,20771.0,32131.0,55421.0,63173.0,33806.0,40412.0,15461.0,10679.0,measurement2.csv
75,D03C,LDPE,red,21016.0,31862.0,55124.0,63616.0,33850.0,40747.0,15673.0,10493.0,measurement2.csv
76,D03C,LDPE,red,21032.0,32255.0,54762.0,62629.0,33891.0,39979.0,15574.0,10401.0,measurement2.csv
77,D04C,LDPE,yellow,19782.0,31980.0,44210.0,52715.0,26874.0,31917.0,12753.0,8427.0,measurement2.csv
78,D04C,LDPE,yellow,19730.0,31561.0,44349.0,52917.0,26476.0,31674.0,12573.0,8815.0,measurement2.csv
79,D04C,LDPE,yellow,20413.0,31627.0,44332.0,52813.0,26692.0,31485.0,12470.0,8820.0,measurement2.csv
80,D04C,LDPE,yellow,20312.0,31466.0,44108.0,53076.0,26663.0,31839.0,12354.0,8329.0,measurement2.csv
81,E01C,PP,white,25584.0,37362.0,60819.0,63159.0,30338.0,37672.0,15120.0,10850.0,measurement2.csv
82,E01C,PP,white,25745.0,36845.0,59971.0,62673.0,30104.0,37253.0,14860.0,10224.0,measurement2.csv
83,E01C,PP,white,25512.0,36947.0,59404.0,62328.0,30033.0,37265.0,15209.0,10502.0,measurement2.csv
84,E01C,PP,white,25305.0,36618.0,59444.0,61685.0,30198.0,37197.0,15280.0,10356.0,measurement2.csv
85,E02C,PP,white,23374.0,35003.0,64486.0,67604.0,33473.0,38374.0,13585.0,8981.0,measurement2.csv
86,E02C,PP,white,23662.0,35202.0,64004.0,68497.0,33981.0,38163.0,13660.0,9362.0,measurement2.csv
87,E02C,PP,white,23588.0,35230.0,64847.0,68481.0,33545.0,37788.0,13276.0,8964.0,measurement2.csv
88,E02C,PP,white,23629.0,35363.0,64728.0,68445.0,33565.0,37923.0,13637.0,8824.0,measurement2.csv
89,E03C,PP,blue,18859.0,27591.0,41509.0,46911.0,22244.0,23932.0,9029.0,6563.0,measurement2.csv
90,E03C,PP,blue,19182.0,27794.0,41828.0,47287.0,22533.0,23853.0,8798.0,6673.0,measurement2.csv
91,E03C,PP,blue,19335.0,27683.0,41932.0,47178.0,22518.0,23756.0,9255.0,6686.0,measurement2.csv
92,E03C,PP,blue,19131.0,27677.0,42157.0,47345.0,21929.0,23796.0,8840.0,6582.0,measurement2.csv
93,E04C,PP,purple,16777.0,22722.0,32674.0,33908.0,16629.0,18152.0,8499.0,6268.0,measurement2.csv
94,E04C,PP,purple,16719.0,22763.0,32617.0,34222.0,16814.0,17892.0,8712.0,6461.0,measurement2.csv
95,E04C,PP,purple,16630.0,22865.0,32277.0,34332.0,16580.0,17894.0,8644.0,6353.0,measurement2.csv
96,E04C,PP,purple,16713.0,23041.0,32548.0,34155.0,16681.0,18192.0,8586.0,6362.0,measurement2.csv
97,E05C,PP,white,26319.0,40491.0,60861.0,75023.0,32718.0,39364.0,14174.0,8925.0,measurement2.csv
98,E05C,PP,white,26341.0,40704.0,60589.0,74984.0,32456.0,39146.0,13844.0,8898.0,measurement2.csv
