Reading,Name,PlasticType,Color,MeasurementType,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,SourceFile
37,3mm pet proxy,PET,transparent,regular,24552.79291,38461.12667,68194.45371,80204.98339,36530.66181,42010.41391,11429.10502,7139.658435,-0.5936035965,-0.001920065502,1.228478451,1.743456689,-0.09192358409,0.1574077267,-1.133628693,-1.329371832,1.060292784,1.216639965,-0.01133705288,0.8547039054,-0.2291950411,0.08886314654,-1.24682816,-1.799862015,measurement1.csv
38,3mm pet proxy,PET,transparent,regular,24740.29642,38274.90536,67944.4307,79681.51654,36258.13744,42570.19267,11832.95096,7233.479613,-0.5827518188,-0.005441094805,1.243516801,1.736866015,-0.09314141895,0.1539015365,-1.142947171,-1.316987319,1.09833697,1.188139792,-0.02639339124,0.7997687342,-0.2102267368,0.1163100652,-1.128071829,-1.894258459,measurement1.csv
39,3mm pet,PET,transparent,regular,24914.0,38102.0,67764.0,79245.0,35894.0,41458.0,11797.0,6679.0,-0.5651829734,-0.005501119226,1.253316227,1.740555184,-0.09920581547,0.1369232289,-1.121851678,-1.339053053,1.111272875,1.190639936,0.00758546533,0.8016802235,-0.2515042251,0.07236142809,-1.055047544,-1.876988159,measurement1.csv
40,3mm pet,PET,transparent,regular,24761.0,38516.0,67678.0,79059.0,35651.0,40981.0,11515.0,7114.0,-0.5705464399,0.01518625386,1.256999181,1.741639224,-0.1068147761,0.1201539812,-1.134604256,-1.322013168,1.101605506,1.300105877,-0.004447341132,0.8081917495,-0.3015049025,0.003828631211,-1.204404689,-1.703374831,measurement1.csv
41,3mm pet,PET,transparent,regular,24524.0,38088.0,67065.0,78481.0,35511.0,40782.0,11323.0,6899.0,-0.5702906124,0.01087762356,1.252437044,1.741571265,-0.09953748586,0.1263057589,-1.135905614,-1.325457979,1.08474796,1.268517524,0.004630259212,0.8118926047,-0.2592386569,0.03623614929,-1.204410597,-1.742375243,measurement1.csv
42,3mm pet,PET,transparent,regular,23983.0,37991.0,67003.0,79473.0,35805.0,41756.0,11361.0,7002.0,-0.5964975102,-0.002364571056,1.228145482,1.75704595,-0.09508120476,0.1573235012,-1.13184488,-1.316726768,0.9444979428,1.265554864,-0.0209814027,0.8963947504,-0.2420924875,0.1533825309,-1.243503691,-1.753252507,measurement1.csv
43,4mm ps,PS,transparent,regular,22941.0,36046.0,58280.0,70258.0,34922.0,39044.0,10678.0,6634.0,-0.5825092616,0.05848020034,1.145985709,1.731851545,0.00350330944,0.2051178506,-1.182314967,-1.380114386,1.125439235,1.397155374,-0.3951626542,0.5623299107,0.01708527118,0.1778571308,-1.201218852,-1.683485415,measurement1.csv
44,4mm ps,PS,transparent,regular,22967.0,35293.0,57568.0,69499.0,34236.0,38502.0,10475.0,6535.0,-0.5650779283,0.04497040104,1.147422659,1.73792133,-0.007343495122,0.2037928162,-1.183342063,-1.37834372,1.212253298,1.328183357,-0.384221822,0.5724125528,-0.01872329077,0.1731647179,-1.212723457,-1.670345356,measurement1.csv
45,4mm ps,PS,transparent,regular,22375.0,35259.0,57499.0,69490.0,34017.0,38570.0,10589.0,6573.0,-0.5897537326,0.0476146431,1.147822085,1.741013965,-0.01382679766,0.2114090153,-1.172804313,-1.371474865,1.095558164,1.392632284,-0.3871660427,0.6130668522,-0.03800572214,0.2095089662,-1.191886048,-1.693708454,measurement1.csv
46,4mm ps,PS,transparent,regular,22904.0,35896.0,58053.0,70528.0,34593.0,39018.0,10750.0,6994.0,-0.5851939321,0.05166647717,1.137789945,1.749307309,-0.01220583758,0.2047051315,-1.180976061,-1.365093032,1.156400957,1.42372467,-0.4593000229,0.598891392,-0.05909460041,0.1634023889,-1.256501979,-1.567522805,measurement1.csv
47,4mm ps,PS,transparent,regular,22208.0,35104.0,58107.0,70058.0,34369.0,38676.0,10882.0,6612.0,-0.602932679,0.02952378988,1.157656246,1.743767231,-0.006522697764,0.2047048155,-1.158391889,-1.367804817,1.048156343,1.376631694,-0.3746280578,0.6565673889,-0.01041744106,0.2010344944,-1.134824475,-1.762519947,measurement1.csv
