2025-05-04 17:04:52,878  trial=087  score=0.9059  params={'n_estimators': 200, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:04:54,709  trial=088  score=0.9123  params={'n_estimators': 400, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:04:55,593  trial=089  score=0.9102  params={'n_estimators': 200, 'max_depth': 45, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:04:56,921  trial=090  score=0.9103  params={'n_estimators': 300, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:04:58,626  trial=091  score=0.9102  params={'n_estimators': 400, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:05:00,372  trial=092  score=0.9145  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:05:02,097  trial=093  score=0.9145  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:05:03,863  trial=094  score=0.9124  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:05:05,254  trial=095  score=0.9081  params={'n_estimators': 300, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:05:08,746  trial=096  score=0.9102  params={'n_estimators': 800, 'max_depth': 50, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:05:10,459  trial=097  score=0.9102  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:05:13,742  trial=098  score=0.9102  params={'n_estimators': 900, 'max_depth': 35, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:05:15,562  trial=099  score=0.9102  params={'n_estimators': 400, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:05:15,563  Best params: {'n_estimators': 400, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:05:15,563  Best score : 0.9167
