2025-05-04 17:22:28,248  trial=060  score=0.4551  params={'n_estimators': 300, 'max_depth': 9, 'learning_rate': 0.049992121059243305, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 4.994698382445378, 'reg_lambda': 2.858659919875973, 'reg_alpha': 0.1737831885021248}
2025-05-04 17:22:29,714  trial=061  score=0.8378  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.025111095345048733, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.17678549783593633, 'reg_lambda': 0.3954891544578891, 'reg_alpha': 0.47644468836526005}
2025-05-04 17:22:31,542  trial=062  score=0.8634  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.026969952244537767, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.02054100761695163, 'reg_lambda': 0.4455323430924044, 'reg_alpha': 0.43793415819898285}
2025-05-04 17:22:32,765  trial=063  score=0.8292  params={'n_estimators': 700, 'max_depth': 4, 'learning_rate': 0.027763972456228074, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.38919853710171637, 'reg_lambda': 0.6484110942432021, 'reg_alpha': 0.3126853457934151}
2025-05-04 17:22:33,913  trial=064  score=0.8420  params={'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.035266050159165375, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.7, 'gamma': 0.1716308425218866, 'reg_lambda': 2.165441036457053, 'reg_alpha': 0.14858100423969425}
2025-05-04 17:22:35,144  trial=065  score=0.7546  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.020101347897997602, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.5454484788812889, 'reg_lambda': 0.9745787325310881, 'reg_alpha': 0.7347722853171157}
2025-05-04 17:22:37,656  trial=066  score=0.8784  params={'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.01623386927989393, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 0.009041597398295196, 'reg_lambda': 0.16327663049310093, 'reg_alpha': 0.016940101371352503}
2025-05-04 17:22:39,257  trial=067  score=0.6475  params={'n_estimators': 800, 'max_depth': 7, 'learning_rate': 0.014519564977094158, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'gamma': 0.2853546021875815, 'reg_lambda': 0.17254518541705582, 'reg_alpha': 3.4169908085797336}
2025-05-04 17:22:40,097  trial=068  score=0.5066  params={'n_estimators': 600, 'max_depth': 6, 'learning_rate': 0.011837707068669417, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 2.010116914762595, 'reg_lambda': 0.004434591253337228, 'reg_alpha': 1.1844505700684216}
2025-05-04 17:22:41,159  trial=069  score=0.6369  params={'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.01724647422124371, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'gamma': 3.6535787994785216, 'reg_lambda': 0.2566845965782672, 'reg_alpha': 0.062366078765108}
